0 , 5962 => 0x0
FungusAmongUs" , 1 => 0x64f
Frozen" , 1 => 0x650
FriendlyInterference" , 1 => 0x651
ForwardThrust" , 1 => 0x652
Focus" , 1 => 0x653
Flirt" , 1 => 0x654
FlipKick" , 1 => 0x655
FlashArrow" , 1 => 0x656
FlammableBreath" , 1 => 0x657
FireResistance" , 1 => 0x658
FireDamageReturn" , 1 => 0x659
FireBomb" , 1 => 0x65a
FireAffinitybonus" , 1 => 0x65b
Fire , 1 => 0x65c
FierySpittle" , 1 => 0x65d
FierceBackhand" , 1 => 0x65e
FeverishMind" , 1 => 0x65f
FearsomeYell" , 1 => 0x660
FearsomeFunk" , 1 => 0x661
FearOfDeath" , 1 => 0x662
Fear" , 1 => 0x663
ExplodingBarrel" , 1 => 0x664
ExplodingArrow" , 1 => 0x665
EvadeMaleUP" , 1 => 0x666
Envenom" , 1 => 0x667
Earth , 1 => 0x668
DustDevil" , 1 => 0x669
DustDevil , 1 => 0x66a
Drowsy" , 1 => 0x66b
DrainAffinity" , 1 => 0x66c
DoublePierce" , 1 => 0x66d
DoubleFrontProtection" , 1 => 0x66e
DoubleCounter" , 1 => 0x66f
DirectionSpell" , 1 => 0x670
DesertVeil" , 1 => 0x671
DebuffPower" , 1 => 0x672
DebuffInitiative" , 1 => 0x673
DebuffDefense" , 1 => 0x674
DebuffAccuracy" , 1 => 0x675
DeathFromBehind" , 1 => 0x676
DeathDefense" , 1 => 0x677
Death" , 1 => 0x678
DarkResistance" , 1 => 0x679
DarkLegionnaire" , 1 => 0x67a
DarkGod" , 1 => 0x67b
DarkCat" , 1 => 0x67c
DamageReturnMedium" , 1 => 0x67d
DamageReturnLight" , 1 => 0x67e
DamageReturnHeavy" , 1 => 0x67f
DamageMale" , 1 => 0x680
CryofAnger" , 1 => 0x681
CryOfSacrifice" , 1 => 0x682
CryOfRage" , 1 => 0x683
CryOfCommand" , 1 => 0x684
CryOfAwakening" , 1 => 0x685
CrowdUp" , 1 => 0x686
CrowdPleaser" , 1 => 0x687
CrowdPleaser , 1 => 0x688
CriticalAttackUP" , 1 => 0x689
Cripple" , 1 => 0x68a
CowTip" , 1 => 0x68b
CovetLife" , 1 => 0x68c
CounterHalf" , 1 => 0x68d
CoordinatedAttack" , 1 => 0x68e
Contamination" , 1 => 0x68f
Confusion" , 1 => 0x690
ConfuseBlind" , 1 => 0x691
Confuse" , 1 => 0x692
Combochain , 1 => 0x693
ColdShoulder" , 1 => 0x694
ChargingAttack" , 1 => 0x695
Charge" , 1 => 0x696
Centurion" , 1 => 0x697
Cat_Summoned" , 1 => 0x698
CarapaceRam" , 1 => 0x699
Campfire" , 1 => 0x69a
Burrow" , 1 => 0x69b
Burn" , 1 => 0x69c
BullheadedResolve" , 1 => 0x69d
BullRush" , 1 => 0x69e
BuffUP" , 1 => 0x69f
BuffPower" , 1 => 0x6a0
BuffInitiative" , 1 => 0x6a1
BuffDefense" , 1 => 0x6a2
BuffAccuracy" , 1 => 0x6a3
Breathknights" , 1 => 0x6a4
BreathShiva" , 1 => 0x6a5
BreathFace" , 1 => 0x6a6
BowAttack" , 1 => 0x6a7
BoostPP" , 1 => 0x6a8
BoostAffinity" , 1 => 0x6a9
BoneSpray" , 1 => 0x6aa
BlockAccDown" , 1 => 0x6ab
Block , 1 => 0x6ac
Blindspot" , 1 => 0x6ad
BlindingFlash" , 1 => 0x6ae
BlindCounter" , 1 => 0x6af
Berserker" , 1 => 0x6b0
BerserkOn" , 1 => 0x6b1
Beguile" , 1 => 0x6b2
BeastEvade" , 1 => 0x6b3
Bear" , 1 => 0x6b4
Bait" , 1 => 0x6b5
Backstab" , 1 => 0x6b6
AxeThrow" , 1 => 0x6b7
AutoReviveHalf" , 1 => 0x6b8
AttackWater" , 1 => 0x6b9
AttackFire" , 1 => 0x6ba
AttackEarth" , 1 => 0x6bb
AttackAir" , 1 => 0x6bc
ArrowGuard" , 1 => 0x6bd
Archer , 1 => 0x6be
AmbushUP" , 1 => 0x6bf
Amazon , 1 => 0x6c0
AlwaysFace" , 1 => 0x6c1
AlliedAssault" , 1 => 0x6c2
AirImmunity" , 1 => 0x6c3
Air , 1 => 0x6c4
AgilityUP" , 1 => 0x6c5
Afterlife" , 1 => 0x6c6
AfterLifeAmendment" , 1 => 0x6c7
AffinityX2" , 1 => 0x6c8
AffinityUP" , 1 => 0x6c9
Affinity , 1 => 0x6ca
AffLeach" , 1 => 0x6cb
AffDraw" , 1 => 0x6cc
AdvancedBlock" , 1 => 0x6cd
Adreniline" , 1 => 0x6ce
Adrenaline" , 1 => 0x6cf
AddPoison" , 1 => 0x6d0
AcidArrow" , 1 => 0x6d1
90 , 1 => 0x6d2
8215 , 1 => 0x6d3
8214 , 1 => 0x6d4
8213 , 1 => 0x6d5
8212 , 1 => 0x6d6
8211 , 1 => 0x6d7
8209 , 1 => 0x6d8
8207 , 1 => 0x6d9
8206 , 1 => 0x6da
8205 , 1 => 0x6db
8204 , 1 => 0x6dc
8203 , 1 => 0x6dd
8202 , 1 => 0x6de
8201 , 1 => 0x6df
8200 , 1 => 0x6e0
8199 , 1 => 0x6e1
8198 , 1 => 0x6e2
8197 , 1 => 0x6e3
8196 , 1 => 0x6e4
8195 , 1 => 0x6e5
8191 , 1 => 0x6e6
8189 , 1 => 0x6e7
8183 , 1 => 0x6e8
8182 , 1 => 0x6e9
8155 , 1 => 0x6ea
8148 , 1 => 0x6eb
8147 , 1 => 0x6ec
8146 , 1 => 0x6ed
8145 , 1 => 0x6ee
8116 , 1 => 0x6ef
8111 , 1 => 0x6f0
7933 , 1 => 0x6f1
7932 , 1 => 0x6f2
7920 , 1 => 0x6f3
7919 , 1 => 0x6f4
7918 , 1 => 0x6f5
7917 , 1 => 0x6f6
7914 , 1 => 0x6f7
7913 , 1 => 0x6f8
7912 , 1 => 0x6f9
7911 , 1 => 0x6fa
7910 , 1 => 0x6fb
7909 , 1 => 0x6fc
7908 , 1 => 0x6fd
7907 , 1 => 0x6fe
7906 , 1 => 0x6ff
7905 , 1 => 0x700
7903 , 1 => 0x701
7902 , 1 => 0x702
7848 , 1 => 0x703
7847 , 1 => 0x704
7846 , 1 => 0x705
7842 , 1 => 0x706
7828 , 1 => 0x707
7705 , 1 => 0x708
7704 , 1 => 0x709
7703 , 1 => 0x70a
7698 , 1 => 0x70b
7697 , 1 => 0x70c
7696 , 1 => 0x70d
7695 , 1 => 0x70e
7659 , 1 => 0x70f
7658 , 1 => 0x710
7657 , 1 => 0x711
7656 , 1 => 0x712
7655 , 1 => 0x713
7654 , 1 => 0x714
7653 , 1 => 0x715
7652 , 1 => 0x716
7651 , 1 => 0x717
7649 , 1 => 0x718
7645 , 1 => 0x719
7641 , 1 => 0x71a
7638 , 1 => 0x71b
7635 , 1 => 0x71c
7626 , 1 => 0x71d
7624 , 1 => 0x71e
7623 , 1 => 0x71f
7622 , 1 => 0x720
7620 , 1 => 0x721
7458 , 1 => 0x722
7436 , 1 => 0x723
7435 , 1 => 0x724
7434 , 1 => 0x725
7433 , 1 => 0x726
7432 , 1 => 0x727
7431 , 1 => 0x728
7430 , 1 => 0x729
7425 , 1 => 0x72a
7424 , 1 => 0x72b
7333 , 1 => 0x72c
7332 , 1 => 0x72d
7018 , 1 => 0x72e
7012 , 1 => 0x72f
7011 , 1 => 0x730
7010 , 1 => 0x731
7009 , 1 => 0x732
7008 , 1 => 0x733
7007 , 1 => 0x734
7006 , 1 => 0x735
7005 , 1 => 0x736
6999 , 1 => 0x737
6995 , 1 => 0x738
6994 , 1 => 0x739
6992 , 1 => 0x73a
6991 , 1 => 0x73b
6990 , 1 => 0x73c
6988 , 1 => 0x73d
6987 , 1 => 0x73e
6986 , 1 => 0x73f
6982 , 1 => 0x740
6981 , 1 => 0x741
6978 , 1 => 0x742
6977 , 1 => 0x743
6976 , 1 => 0x744
6975 , 1 => 0x745
6974 , 1 => 0x746
6973 , 1 => 0x747
6972 , 1 => 0x748
6971 , 1 => 0x749
6970 , 1 => 0x74a
6969 , 1 => 0x74b
6968 , 1 => 0x74c
6967 , 1 => 0x74d
6966 , 1 => 0x74e
6964 , 1 => 0x74f
6963 , 1 => 0x750
6962 , 1 => 0x751
6961 , 1 => 0x752
6960 , 1 => 0x753
6959 , 1 => 0x754
6958 , 1 => 0x755
6957 , 1 => 0x756
6955 , 1 => 0x757
6954 , 1 => 0x758
6953 , 1 => 0x759
6952 , 1 => 0x75a
6951 , 1 => 0x75b
6950 , 1 => 0x75c
6949 , 1 => 0x75d
6948 , 1 => 0x75e
6947 , 1 => 0x75f
6946 , 1 => 0x760
6944 , 1 => 0x761
6942 , 1 => 0x762
6941 , 1 => 0x763
6939 , 1 => 0x764
6938 , 1 => 0x765
6937 , 1 => 0x766
6936 , 1 => 0x767
6935 , 1 => 0x768
6932 , 1 => 0x769
6931 , 1 => 0x76a
6930 , 1 => 0x76b
6927 , 1 => 0x76c
6926 , 1 => 0x76d
6925 , 1 => 0x76e
6923 , 1 => 0x76f
6922 , 1 => 0x770
6921 , 1 => 0x771
6920 , 1 => 0x772
6919 , 1 => 0x773
6918 , 1 => 0x774
6917 , 1 => 0x775
6916 , 1 => 0x776
6915 , 1 => 0x777
6914 , 1 => 0x778
6912 , 1 => 0x779
6911 , 1 => 0x77a
6909 , 1 => 0x77b
6908 , 1 => 0x77c
6907 , 1 => 0x77d
6906 , 1 => 0x77e
6905 , 1 => 0x77f
6904 , 1 => 0x780
6903 , 1 => 0x781
6902 , 1 => 0x782
6901 , 1 => 0x783
6899 , 1 => 0x784
6897 , 1 => 0x785
6896 , 1 => 0x786
6895 , 1 => 0x787
6894 , 1 => 0x788
6893 , 1 => 0x789
6892 , 1 => 0x78a
6888 , 1 => 0x78b
6883 , 1 => 0x78c
6875 , 1 => 0x78d
6874 , 1 => 0x78e
6869 , 1 => 0x78f
6867 , 1 => 0x790
6866 , 1 => 0x791
6865 , 1 => 0x792
6861 , 1 => 0x793
6837 , 1 => 0x794
6836 , 1 => 0x795
6835 , 1 => 0x796
6834 , 1 => 0x797
6831 , 1 => 0x798
6830 , 1 => 0x799
6829 , 1 => 0x79a
6828 , 1 => 0x79b
6827 , 1 => 0x79c
6825 , 1 => 0x79d
6824 , 1 => 0x79e
6823 , 1 => 0x79f
6822 , 1 => 0x7a0
6821 , 1 => 0x7a1
6820 , 1 => 0x7a2
6819 , 1 => 0x7a3
6817 , 1 => 0x7a4
6816 , 1 => 0x7a5
6813 , 1 => 0x7a6
6812 , 1 => 0x7a7
6808 , 1 => 0x7a8
6798 , 1 => 0x7a9
6797 , 1 => 0x7aa
6795 , 1 => 0x7ab
6794 , 1 => 0x7ac
6793 , 1 => 0x7ad
6791 , 1 => 0x7ae
6788 , 1 => 0x7af
6787 , 1 => 0x7b0
6782 , 1 => 0x7b1
6781 , 1 => 0x7b2
6780 , 1 => 0x7b3
6779 , 1 => 0x7b4
6778 , 1 => 0x7b5
6777 , 1 => 0x7b6
6776 , 1 => 0x7b7
6775 , 1 => 0x7b8
6774 , 1 => 0x7b9
6773 , 1 => 0x7ba
6772 , 1 => 0x7bb
6771 , 1 => 0x7bc
6770 , 1 => 0x7bd
6769 , 1 => 0x7be
6766 , 1 => 0x7bf
6765 , 1 => 0x7c0
6757 , 1 => 0x7c1
6755 , 1 => 0x7c2
6754 , 1 => 0x7c3
6750 , 1 => 0x7c4
6748 , 1 => 0x7c5
6746 , 1 => 0x7c6
6745 , 1 => 0x7c7
6744 , 1 => 0x7c8
6743 , 1 => 0x7c9
6742 , 1 => 0x7ca
6741 , 1 => 0x7cb
6739 , 1 => 0x7cc
6738 , 1 => 0x7cd
6737 , 1 => 0x7ce
6736 , 1 => 0x7cf
6733 , 1 => 0x7d0
6732 , 1 => 0x7d1
6731 , 1 => 0x7d2
6730 , 1 => 0x7d3
6729 , 1 => 0x7d4
6728 , 1 => 0x7d5
6727 , 1 => 0x7d6
6726 , 1 => 0x7d7
6725 , 1 => 0x7d8
6722 , 1 => 0x7d9
6721 , 1 => 0x7da
6720 , 1 => 0x7db
6719 , 1 => 0x7dc
6718 , 1 => 0x7dd
6717 , 1 => 0x7de
6716 , 1 => 0x7df
6715 , 1 => 0x7e0
6714 , 1 => 0x7e1
6713 , 1 => 0x7e2
6712 , 1 => 0x7e3
6708 , 1 => 0x7e4
6707 , 1 => 0x7e5
6705 , 1 => 0x7e6
6704 , 1 => 0x7e7
6703 , 1 => 0x7e8
6699 , 1 => 0x7e9
6697 , 1 => 0x7ea
6696 , 1 => 0x7eb
6693 , 1 => 0x7ec
6691 , 1 => 0x7ed
6690 , 1 => 0x7ee
6689 , 1 => 0x7ef
6688 , 1 => 0x7f0
6687 , 1 => 0x7f1
6686 , 1 => 0x7f2
6685 , 1 => 0x7f3
6684 , 1 => 0x7f4
6683 , 1 => 0x7f5
6682 , 1 => 0x7f6
6680 , 1 => 0x7f7
6679 , 1 => 0x7f8
6677 , 1 => 0x7f9
6676 , 1 => 0x7fa
6675 , 1 => 0x7fb
6674 , 1 => 0x7fc
6673 , 1 => 0x7fd
6672 , 1 => 0x7fe
6671 , 1 => 0x7ff
6668 , 1 => 0x800
6654 , 1 => 0x801
6651 , 1 => 0x802
6649 , 1 => 0x803
6637 , 1 => 0x804
6636 , 1 => 0x805
6632 , 1 => 0x806
6629 , 1 => 0x807
6627 , 1 => 0x808
6626 , 1 => 0x809
6621 , 1 => 0x80a
6620 , 1 => 0x80b
6619 , 1 => 0x80c
6618 , 1 => 0x80d
6616 , 1 => 0x80e
6614 , 1 => 0x80f
6611 , 1 => 0x810
6610 , 1 => 0x811
6609 , 1 => 0x812
6608 , 1 => 0x813
6604 , 1 => 0x814
6602 , 1 => 0x815
6601 , 1 => 0x816
6600 , 1 => 0x817
6598 , 1 => 0x818
6596 , 1 => 0x819
6595 , 1 => 0x81a
6594 , 1 => 0x81b
6593 , 1 => 0x81c
6592 , 1 => 0x81d
6591 , 1 => 0x81e
6589 , 1 => 0x81f
6588 , 1 => 0x820
6587 , 1 => 0x821
6586 , 1 => 0x822
6585 , 1 => 0x823
6581 , 1 => 0x824
6580 , 1 => 0x825
6579 , 1 => 0x826
6578 , 1 => 0x827
6577 , 1 => 0x828
6572 , 1 => 0x829
6571 , 1 => 0x82a
6567 , 1 => 0x82b
6566 , 1 => 0x82c
6551 , 1 => 0x82d
6550 , 1 => 0x82e
6548 , 1 => 0x82f
6524 , 1 => 0x830
6473 , 1 => 0x831
6460 , 1 => 0x832
6459 , 1 => 0x833
6452 , 1 => 0x834
6440 , 1 => 0x835
6437 , 1 => 0x836
6435 , 1 => 0x837
6434 , 1 => 0x838
6365 , 1 => 0x839
6364 , 1 => 0x83a
6363 , 1 => 0x83b
6362 , 1 => 0x83c
6280 , 1 => 0x83d
6279 , 1 => 0x83e
6278 , 1 => 0x83f
6277 , 1 => 0x840
6276 , 1 => 0x841
6165 , 1 => 0x842
6100 , 1 => 0x843
6055 , 1 => 0x844
6054 , 1 => 0x845
6033 , 1 => 0x846
5995 , 1 => 0x847
5965 , 1 => 0x848
5963 , 1 => 0x849
5962 , 1 => 0x84a
5961 , 1 => 0x84b
5960 , 1 => 0x84c
5888 , 1 => 0x84d
5807 , 1 => 0x84e
5806 , 1 => 0x84f
5678 , 1 => 0x850
5633 , 1 => 0x851
5545 , 1 => 0x852
5544 , 1 => 0x853
5528 , 1 => 0x854
5247 , 1 => 0x855
5243 , 1 => 0x856
5242 , 1 => 0x857
5238 , 1 => 0x858
5237 , 1 => 0x859
5236 , 1 => 0x85a
5235 , 1 => 0x85b
5234 , 1 => 0x85c
5233 , 1 => 0x85d
5232 , 1 => 0x85e
5231 , 1 => 0x85f
5229 , 1 => 0x860
5226 , 1 => 0x861
5224 , 1 => 0x862
5220 , 1 => 0x863
5218 , 1 => 0x864
5215 , 1 => 0x865
5214 , 1 => 0x866
5213 , 1 => 0x867
5212 , 1 => 0x868
5208 , 1 => 0x869
5203 , 1 => 0x86a
5202 , 1 => 0x86b
5201 , 1 => 0x86c
5200 , 1 => 0x86d
5199 , 1 => 0x86e
5198 , 1 => 0x86f
5196 , 1 => 0x870
5195 , 1 => 0x871
5194 , 1 => 0x872
5193 , 1 => 0x873
5192 , 1 => 0x874
5191 , 1 => 0x875
5190 , 1 => 0x876
5189 , 1 => 0x877
5187 , 1 => 0x878
5186 , 1 => 0x879
5185 , 1 => 0x87a
5184 , 1 => 0x87b
5183 , 1 => 0x87c
5182 , 1 => 0x87d
5181 , 1 => 0x87e
5180 , 1 => 0x87f
5179 , 1 => 0x880
5178 , 1 => 0x881
5173 , 1 => 0x882
5172 , 1 => 0x883
5171 , 1 => 0x884
5170 , 1 => 0x885
5133 , 1 => 0x886
5132 , 1 => 0x887
5131 , 1 => 0x888
5130 , 1 => 0x889
5129 , 1 => 0x88a
5127 , 1 => 0x88b
5126 , 1 => 0x88c
5125 , 1 => 0x88d
5123 , 1 => 0x88e
5122 , 1 => 0x88f
5121 , 1 => 0x890
5120 , 1 => 0x891
5119 , 1 => 0x892
5118 , 1 => 0x893
5117 , 1 => 0x894
5116 , 1 => 0x895
5115 , 1 => 0x896
5114 , 1 => 0x897
5113 , 1 => 0x898
5112 , 1 => 0x899
5111 , 1 => 0x89a
5110 , 1 => 0x89b
5109 , 1 => 0x89c
5108 , 1 => 0x89d
5106 , 1 => 0x89e
5105 , 1 => 0x89f
5104 , 1 => 0x8a0
5103 , 1 => 0x8a1
5102 , 1 => 0x8a2
5101 , 1 => 0x8a3
5100 , 1 => 0x8a4
5099 , 1 => 0x8a5
5098 , 1 => 0x8a6
5097 , 1 => 0x8a7
5096 , 1 => 0x8a8
5095 , 1 => 0x8a9
5094 , 1 => 0x8aa
5093 , 1 => 0x8ab
5092 , 1 => 0x8ac
5091 , 1 => 0x8ad
5090 , 1 => 0x8ae
5089 , 1 => 0x8af
5088 , 1 => 0x8b0
5087 , 1 => 0x8b1
5086 , 1 => 0x8b2
5085 , 1 => 0x8b3
5084 , 1 => 0x8b4
5083 , 1 => 0x8b5
4894 , 1 => 0x8b6
4874 , 1 => 0x8b7
4835 , 1 => 0x8b8
4833 , 1 => 0x8b9
4832 , 1 => 0x8ba
4799 , 1 => 0x8bb
4798 , 1 => 0x8bc
4797 , 1 => 0x8bd
4796 , 1 => 0x8be
4790 , 1 => 0x8bf
4789 , 1 => 0x8c0
4786 , 1 => 0x8c1
4785 , 1 => 0x8c2
4784 , 1 => 0x8c3
4776 , 1 => 0x8c4
4769 , 1 => 0x8c5
4766 , 1 => 0x8c6
4764 , 1 => 0x8c7
4763 , 1 => 0x8c8
4762 , 1 => 0x8c9
4755 , 1 => 0x8ca
4754 , 1 => 0x8cb
4753 , 1 => 0x8cc
4749 , 1 => 0x8cd
4748 , 1 => 0x8ce
4747 , 1 => 0x8cf
4742 , 1 => 0x8d0
4740 , 1 => 0x8d1
4737 , 1 => 0x8d2
4736 , 1 => 0x8d3
4734 , 1 => 0x8d4
4729 , 1 => 0x8d5
4726 , 1 => 0x8d6
4724 , 1 => 0x8d7
4723 , 1 => 0x8d8
4722 , 1 => 0x8d9
4721 , 1 => 0x8da
4720 , 1 => 0x8db
4719 , 1 => 0x8dc
4718 , 1 => 0x8dd
4715 , 1 => 0x8de
4714 , 1 => 0x8df
4710 , 1 => 0x8e0
4706 , 1 => 0x8e1
4705 , 1 => 0x8e2
4704 , 1 => 0x8e3
4701 , 1 => 0x8e4
4699 , 1 => 0x8e5
4698 , 1 => 0x8e6
4697 , 1 => 0x8e7
4696 , 1 => 0x8e8
4692 , 1 => 0x8e9
4683 , 1 => 0x8ea
4682 , 1 => 0x8eb
4676 , 1 => 0x8ec
4675 , 1 => 0x8ed
4674 , 1 => 0x8ee
4673 , 1 => 0x8ef
4670 , 1 => 0x8f0
4667 , 1 => 0x8f1
4660 , 1 => 0x8f2
4659 , 1 => 0x8f3
4651 , 1 => 0x8f4
4650 , 1 => 0x8f5
4649 , 1 => 0x8f6
4648 , 1 => 0x8f7
4647 , 1 => 0x8f8
4646 , 1 => 0x8f9
4644 , 1 => 0x8fa
4643 , 1 => 0x8fb
4642 , 1 => 0x8fc
4639 , 1 => 0x8fd
4638 , 1 => 0x8fe
4634 , 1 => 0x8ff
4630 , 1 => 0x900
4629 , 1 => 0x901
4628 , 1 => 0x902
4624 , 1 => 0x903
4620 , 1 => 0x904
4615 , 1 => 0x905
4612 , 1 => 0x906
4609 , 1 => 0x907
4605 , 1 => 0x908
4601 , 1 => 0x909
46 , 1 => 0x90a
4599 , 1 => 0x90b
4598 , 1 => 0x90c
4596 , 1 => 0x90d
4595 , 1 => 0x90e
4593 , 1 => 0x90f
4592 , 1 => 0x910
4591 , 1 => 0x911
4590 , 1 => 0x912
4589 , 1 => 0x913
4588 , 1 => 0x914
4587 , 1 => 0x915
4586 , 1 => 0x916
4585 , 1 => 0x917
4584 , 1 => 0x918
4583 , 1 => 0x919
4582 , 1 => 0x91a
4581 , 1 => 0x91b
4580 , 1 => 0x91c
4579 , 1 => 0x91d
4578 , 1 => 0x91e
4577 , 1 => 0x91f
4576 , 1 => 0x920
4575 , 1 => 0x921
4574 , 1 => 0x922
4572 , 1 => 0x923
4571 , 1 => 0x924
4569 , 1 => 0x925
4568 , 1 => 0x926
4567 , 1 => 0x927
4566 , 1 => 0x928
4565 , 1 => 0x929
4564 , 1 => 0x92a
4563 , 1 => 0x92b
4562 , 1 => 0x92c
4561 , 1 => 0x92d
4560 , 1 => 0x92e
4557 , 1 => 0x92f
4556 , 1 => 0x930
4554 , 1 => 0x931
4553 , 1 => 0x932
4552 , 1 => 0x933
4550 , 1 => 0x934
4549 , 1 => 0x935
4547 , 1 => 0x936
4544 , 1 => 0x937
4543 , 1 => 0x938
4537 , 1 => 0x939
4532 , 1 => 0x93a
4531 , 1 => 0x93b
4530 , 1 => 0x93c
4529 , 1 => 0x93d
4527 , 1 => 0x93e
4518 , 1 => 0x93f
4515 , 1 => 0x940
4512 , 1 => 0x941
4511 , 1 => 0x942
4510 , 1 => 0x943
4509 , 1 => 0x944
4508 , 1 => 0x945
4507 , 1 => 0x946
4506 , 1 => 0x947
4505 , 1 => 0x948
4457 , 1 => 0x949
44 , 1 => 0x94a
4375 , 1 => 0x94b
4374 , 1 => 0x94c
4372 , 1 => 0x94d
4370 , 1 => 0x94e
4365 , 1 => 0x94f
4363 , 1 => 0x950
4362 , 1 => 0x951
4361 , 1 => 0x952
4360 , 1 => 0x953
4358 , 1 => 0x954
4355 , 1 => 0x955
4354 , 1 => 0x956
4350 , 1 => 0x957
4349 , 1 => 0x958
4348 , 1 => 0x959
4257 , 1 => 0x95a
4256 , 1 => 0x95b
4255 , 1 => 0x95c
4254 , 1 => 0x95d
4253 , 1 => 0x95e
4252 , 1 => 0x95f
4251 , 1 => 0x960
4250 , 1 => 0x961
4249 , 1 => 0x962
4248 , 1 => 0x963
4247 , 1 => 0x964
4246 , 1 => 0x965
4245 , 1 => 0x966
4244 , 1 => 0x967
4243 , 1 => 0x968
4242 , 1 => 0x969
4241 , 1 => 0x96a
4240 , 1 => 0x96b
4239 , 1 => 0x96c
4238 , 1 => 0x96d
4237 , 1 => 0x96e
4236 , 1 => 0x96f
4235 , 1 => 0x970
4234 , 1 => 0x971
4233 , 1 => 0x972
4232 , 1 => 0x973
4231 , 1 => 0x974
4227 , 1 => 0x975
4226 , 1 => 0x976
4225 , 1 => 0x977
4224 , 1 => 0x978
4223 , 1 => 0x979
4222 , 1 => 0x97a
4220 , 1 => 0x97b
4219 , 1 => 0x97c
4218 , 1 => 0x97d
4217 , 1 => 0x97e
4216 , 1 => 0x97f
4214 , 1 => 0x980
4213 , 1 => 0x981
4212 , 1 => 0x982
4211 , 1 => 0x983
4210 , 1 => 0x984
4209 , 1 => 0x985
4207 , 1 => 0x986
4206 , 1 => 0x987
4205 , 1 => 0x988
4203 , 1 => 0x989
4202 , 1 => 0x98a
4200 , 1 => 0x98b
4199 , 1 => 0x98c
4198 , 1 => 0x98d
4197 , 1 => 0x98e
4196 , 1 => 0x98f
4195 , 1 => 0x990
4194 , 1 => 0x991
4193 , 1 => 0x992
4192 , 1 => 0x993
4191 , 1 => 0x994
4190 , 1 => 0x995
4189 , 1 => 0x996
4188 , 1 => 0x997
4187 , 1 => 0x998
4185 , 1 => 0x999
4184 , 1 => 0x99a
4183 , 1 => 0x99b
4182 , 1 => 0x99c
4181 , 1 => 0x99d
4180 , 1 => 0x99e
4179 , 1 => 0x99f
4178 , 1 => 0x9a0
4177 , 1 => 0x9a1
4175 , 1 => 0x9a2
4174 , 1 => 0x9a3
4173 , 1 => 0x9a4
4172 , 1 => 0x9a5
4171 , 1 => 0x9a6
4170 , 1 => 0x9a7
4169 , 1 => 0x9a8
4167 , 1 => 0x9a9
4166 , 1 => 0x9aa
4165 , 1 => 0x9ab
4164 , 1 => 0x9ac
4163 , 1 => 0x9ad
4162 , 1 => 0x9ae
4161 , 1 => 0x9af
4160 , 1 => 0x9b0
4151 , 1 => 0x9b1
4148 , 1 => 0x9b2
4147 , 1 => 0x9b3
4146 , 1 => 0x9b4
4145 , 1 => 0x9b5
4144 , 1 => 0x9b6
4143 , 1 => 0x9b7
4116 , 1 => 0x9b8
4115 , 1 => 0x9b9
4114 , 1 => 0x9ba
4113 , 1 => 0x9bb
4112 , 1 => 0x9bc
4111 , 1 => 0x9bd
4110 , 1 => 0x9be
4109 , 1 => 0x9bf
4108 , 1 => 0x9c0
4107 , 1 => 0x9c1
4105 , 1 => 0x9c2
4104 , 1 => 0x9c3
4102 , 1 => 0x9c4
4101 , 1 => 0x9c5
4100 , 1 => 0x9c6
4099 , 1 => 0x9c7
4098 , 1 => 0x9c8
4097 , 1 => 0x9c9
4096 , 1 => 0x9ca
4095 , 1 => 0x9cb
4094 , 1 => 0x9cc
4093 , 1 => 0x9cd
4091 , 1 => 0x9ce
4090 , 1 => 0x9cf
4089 , 1 => 0x9d0
4088 , 1 => 0x9d1
4086 , 1 => 0x9d2
4084 , 1 => 0x9d3
4083 , 1 => 0x9d4
4082 , 1 => 0x9d5
4081 , 1 => 0x9d6
4080 , 1 => 0x9d7
4079 , 1 => 0x9d8
4078 , 1 => 0x9d9
4077 , 1 => 0x9da
4075 , 1 => 0x9db
4074 , 1 => 0x9dc
4073 , 1 => 0x9dd
4071 , 1 => 0x9de
4070 , 1 => 0x9df
4069 , 1 => 0x9e0
4068 , 1 => 0x9e1
4067 , 1 => 0x9e2
4066 , 1 => 0x9e3
4065 , 1 => 0x9e4
4053 , 1 => 0x9e5
4052 , 1 => 0x9e6
4048 , 1 => 0x9e7
4046 , 1 => 0x9e8
4045 , 1 => 0x9e9
4042 , 1 => 0x9ea
4040 , 1 => 0x9eb
4038 , 1 => 0x9ec
4037 , 1 => 0x9ed
4036 , 1 => 0x9ee
4035 , 1 => 0x9ef
4033 , 1 => 0x9f0
4031 , 1 => 0x9f1
4030 , 1 => 0x9f2
4025 , 1 => 0x9f3
3995 , 1 => 0x9f4
3804 , 1 => 0x9f5
3802 , 1 => 0x9f6
3801 , 1 => 0x9f7
3800 , 1 => 0x9f8
3799 , 1 => 0x9f9
3797 , 1 => 0x9fa
3795 , 1 => 0x9fb
3793 , 1 => 0x9fc
3792 , 1 => 0x9fd
3791 , 1 => 0x9fe
3729 , 1 => 0x9ff
3712 , 1 => 0xa00
3705 , 1 => 0xa01
3619 , 1 => 0xa02
3618 , 1 => 0xa03
3617 , 1 => 0xa04
3616 , 1 => 0xa05
3615 , 1 => 0xa06
3612 , 1 => 0xa07
3611 , 1 => 0xa08
3606 , 1 => 0xa09
35 , 1 => 0xa0a
1980 , 1 => 0xa0b
1979 , 1 => 0xa0c
1978 , 1 => 0xa0d
1977 , 1 => 0xa0e
1976 , 1 => 0xa0f
